Sample_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,
ACH-000549,SNU-1076,SNU1076,SNU1076_UPPER_AERODIGESTIVE_TRACT,,,Male,KCLB,2,-3.22179425178729,,RPMI + 10% heat inactivated FBS + 300mg/l L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,85,CVCL_5006,,upper_aerodigestive_tract,,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal",60,SIDM00168,,upper_aerodigestive,upper_aerodigestive_squamous,laryngeal,,
ACH-001542,KON,KON,KON_UPPER_AERODIGESTIVE_TRACT,,1298215,Male,JCRB,2,-4.48877099743301,Adherent,DMEM + 10% FBS,92.4,CVCL_3001,314,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,76,SIDM00604,,upper_aerodigestive,upper_aerodigestive_squamous,,,
ACH-001626,OSC-20,OSC20,OSC20_UPPER_AERODIGESTIVE_TRACT,,1240196,Female,JCRB,,,,,,CVCL_3087,1254,lymph_node,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,59,SIDM00565,,upper_aerodigestive,upper_aerodigestive_squamous,,,
ACH-001605,no.10,NO10,NO10_CENTRAL_NERVOUS_SYSTEM,ONDA10,908452,Male,JCRB,,,,,,CVCL_3075,36,central_nervous_system,Primary,Brain Cancer,Glioblastoma,62,SIDM00574,,central_nervous_system,glioma,glioblastoma,,
ACH-000331,IST-MES2,ISTMES2,ISTMES2_PLEURA,IST-MES-2,,Male,ICLC,2,-4.14125884925523,Adherent,DMEM + 10% FBS + 2mM L-glutamine + NEAA,63.8,CVCL_1312,,pleural_effusion,,Lung Cancer,Mesothelioma,71,,,lung,mesothelioma,,,
ACH-000554,UACC-893,UACC893,UACC893_BREAST,,909778,Female,ATCC,,,,,,CVCL_1782,1090,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,57,SIDM01186,,breast,breast_ductal_carcinoma,ERneg_HER2pos,HER2_amp,
ACH-000511,Calu-1,CALU1,CALU1_LUNG,,,Male,ATCC,2,-4.92311412747237,Adherent,McCoy's 5A + 10% FBS,78.7,CVCL_0608,,pleura,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",47,,,lung,NSCLC,NSCLC_squamous,,
ACH-000790,SHP-77,SHP77,SHP77_LUNG,,724872,Male,ATCC,2,-3.47027427876318,Mixed adherent and suspension,RPMI + 10% FBS,89.4,CVCL_1693,1479,lung,Primary,Lung Cancer,Small Cell Lung Cancer (SCLC),54,SIDM01078,,lung,SCLC,,,
ACH-000039,SK-N-MC,SKNMC,SKNMC_BONE,,,Female,ATCC,3,-2.62797226914965,Adherent,EMEM + 10% FBS,65.3,CVCL_0530,,bone,Metastasis,Bone Cancer,Ewings Sarcoma,14,SIDM00634,,bone,Ewing_sarcoma,,EWS_FLI,
ACH-000325,SNU-620,SNU620,SNU620_STOMACH,,,Female,KCLB,2,-3.82252063161089,,RPMI + 10% heat inactivated FBS + 300mg/L L-glutamine + 25mM HEPES + 25mM Sodium bicarbonate,84,CVCL_5079,,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,59,,,gastric,gastric_adenocarcinoma,,,
ACH-001212,TTC-642,TTC642,TTC642_SOFT_TISSUE,,,Female,Academic lab,2,-2.16746680832146,not found,not found,43.8,CVCL_8006,,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,soft_tissue,malignant_rhabdoid_tumor,,,
ACH-000137,8-MG-BA,8MGBA,8MGBA_CENTRAL_NERVOUS_SYSTEM,,687562,Female,DSMZ,2,-3.7124310670505,Adherent,EMEM + 20% FBS,54.3,CVCL_1052,1207,central_nervous_system,Primary,Brain Cancer,Astrocytoma,54,SIDM00998,,central_nervous_system,glioma,astrocytoma,,
ACH-002027,HOUA-I,HOUAI,HOUAI_ENDOMETRIUM,,,Female,RIKEN,1,-3.53596042757417,Adherent,HamF12+15%FBS,73,,,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,55,,,uterus,endometrial_adenocarcinoma,,,
ACH-000858,KNS-62,KNS62,KNS62_LUNG,,753569,Male,ATCC,2,-4.602427821627,Adherent,AlphaMEM + 10% FBS,79.8,CVCL_1335,1369,central_nervous_system,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",49,SIDM00606,,lung,NSCLC,NSCLC_squamous,,
ACH-000702,L-1236,L1236,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330935,Male,DSMZ,2,-4.4610086800791,Mixed adherent and suspension,RPMI + 10% FBS,93.3,CVCL_2096,408,haematopoietic_and_lymphoid_tissue,,Lymphoma,"B-cell, Hodgkins",34,SIDM00313,,lymphocyte,hodgkin_lymphoma,,,
ACH-001390,SUM-149PT,SUM149PT,SUM149PT_BREAST,,,Female,Asterand,1,-2.87279002823386,Adherent,HAM's F-12 + 5% FBS + 10mM HEPES + Hydrocortisone 1ug/ml + Insulin 5ug/ml,62.3,CVCL_3422,,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,,,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_B,
ACH-001536,KKU-100,KKU100,KKU100_BILIARY_TRACT,,,Female,JCRB,2,-2.42955341453573,Adherent,DMEM + 10% FBS,64.1,CVCL_3996,,liver,Primary,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",65,,,bile_duct,cholangiocarcinoma,extrahepatic,,
ACH-000872,HCC515,HCC515,HCC515_LUNG,,,Female,Academic lab,3,-3.34763487222383,not found,not found,72.7,CVCL_5136,,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-001303,NB1643,NB1643,NB1643_AUTONOMIC_GANGLIA,,,Male,Academic lab,2,-1.96833284807938,not found,not found,38.8,CVCL_5627,,abdomen,,Neuroblastoma,,3,,,peripheral_nervous_system,neuroblastoma,,MYCN_amp,
ACH-002015,Mel285,MEL285,MEL285_UVEA,,,Female,Academic lab,1,-3.48853463753266,Adherent,RPMI 1640 + 20% FBS (w/3mM L-glutamine),89.5,CVCL_C303,,uvea,Primary,Eye Cancer,Uveal Melanoma,49,,,eye,uveal_melanoma,,,
ACH-000638,NCI-H441,NCIH441,NCIH441_LUNG,,908460,Male,ATCC,4,-3.20109743972864,Adherent,RPMI + 10% FBS,81,CVCL_1561,1815,pericardial_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00925,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-001278,BIN-67,BIN67,BIN67_OVARY,,,Female,Academic lab,2,-3.73848456741214,not found,not found,43,CVCL_S987,,bone,Metastasis,Ovarian Cancer,Small Cell Carcinoma of the Ovary Hypercalcemic Type (SCCOHT),,,,ovary,SCCOHT,,,
ACH-001973,MM485,MM485,MM485_SKIN,"MM 485, MM-485",,Male,CellBank Australia,2,-3.0680368153159,Adherent,RPMI 1640 (with 2mM L-Glutamine + 25mM HEPES) + 10% FBS,60,,,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,skin,melanoma,,,
ACH-001194,SK-RC 31,SKRC31,SKRC31_KIDNEY,,,Unknown,Academic lab,1,-3.92588486449226,not found,not found,93,CVCL_6186,,lung,Metastasis,Kidney Cancer,Renal Cell Carcinoma,,,,kidney,renal_cell_carcinoma,,,
ACH-000286,SNU-1033,SNU1033,SNU1033_LARGE_INTESTINE,,,Female,KCLB,2,-2.91603287514418,,RPMI + 10% FBS,67.5,CVCL_5002,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,45,SIDM00192,,colorectal,colorectal_adenocarcinoma,,,
ACH-000365,SU-DHL-4,SUDHL4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331035,Male,DSMZ,2,-3.59270244726752,Suspension,RPMI + 20% FBS,73.1,CVCL_0539,1450,pleural_effusion,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),38,SIDM00405,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,
ACH-001377,PACADD-137,PACADD137,PACADD137_PANCREAS,,,Female,DSMZ,2,-3.39993062683502,Adherent,DMEM:Keratinocyte SFM (1:1)+20%FBS,67.3,CVCL_1850,,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",75,,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-000548,BHY,BHY,BHY_UPPER_AERODIGESTIVE_TRACT,,753535,Male,DSMZ,2,-3.92396310420324,,DMEM + 10% FBS,91.2,CVCL_1086,748,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",52,SIDM00986,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,
ACH-000788,A2058,A2058,A2058_SKIN,,906792,Male,ATCC,2,-5.19088711400676,Adherent,DMEM + 10% FBS,,CVCL_1059,652,lymph_node,Metastasis,Skin Cancer,Melanoma,43,SIDM00797,,skin,melanoma,,,
ACH-000445,KNS-60,KNS60,KNS60_CENTRAL_NERVOUS_SYSTEM,,,Male,HSRRB,1,-3.7245181512377,,DMEM + 5% FBS,71.2,CVCL_2798,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,55,,,central_nervous_system,glioma,glioblastoma,,
ACH-000581,SNU-16,SNU16,SNU16_STOMACH,,908446,Female,ATCC,1,-1.06270530289183,,RPMI + 10% FBS,57.7,CVCL_0076,291,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,33,SIDM01145,,gastric,gastric_adenocarcinoma,,,
ACH-000288,BT-549,BT549,BT549_BREAST,,905951,Female,ATCC,3,-4.53199417764751,Adherent,RPMI + 10% heat inactivated FBS,77.4,CVCL_1092,1835,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,72,SIDM00122,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_B,
ACH-000374,HCC1143,HCC1143,HCC1143_BREAST,,749710,Female,ATCC,2,-3.48995153200779,Adherent,RPMI + 10% FBS,84,CVCL_1245,1316,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,52,SIDM00866,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_A,
ACH-000221,SNU-398,SNU398,SNU398_LIVER,,1240217,Male,ATCC,2,-3.82676818746881,Mixed adherent and suspension,RPMI + 10% FBS,58.7,CVCL_0077,2169,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,42,SIDM01181,,liver,hepatocellular_carcinoma,,,
ACH-002001,A375 SKIN CJ1,A375SKINCJ1,A375_SKIN_CJ1_RESISTANT,A375 RMR,,Unknown,Academic lab,2,-4.00645339131828,Adherent,RPMI 1640 + 10% FBS + 1% P/S,80.5,,,skin,,Skin Cancer,Melanoma,,,Drug resistance: Dabrafenib and Trametinib,skin,melanoma,,,
ACH-001618,OCI-M2,OCIM2,OCIM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Unknown,DSMZ,2,-3.17963330850978,Suspension,IMDM + 20% FBS,84.8,CVCL_2150,,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),56,,,blood,AML,,,
ACH-000246,SLR 23,SLR23,SLR23_KIDNEY,,,Unknown,Academic lab,2,-4.76081206748148,Adherent,RPMI,10% FBS,83,CVCL_V609,,kidney,Metastasis,Kidney Cancer,Renal Cell Carcinoma,,,,kidney,renal_cell_carcinoma,,
ACH-001500,FLO-1,FLO1,FLO1_OESOPHAGUS,,1503361,Male,Sigma-Aldrich,2,-3.09972834178477,Adherent,DMEM + 10% FBS + 2mM Glutamine,70.1,CVCL_2045,1019,oesophagus,Primary,Esophageal Cancer,Adenocarcinoma,,SIDM01041,,esophagus,esophagus_adenocarcinoma,,,
ACH-000028,KPL-1,KPL1,KPL1_BREAST,,,Female,DSMZ,3,-3.41465475547097,Adherent,DMEM + 10% FBS,69.6,CVCL_2094,,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,50,SIDM00147,,breast,breast_carcinoma,ERpos_HER2neg,luminal,
ACH-001529,JAR,JAR,JAR_PLACENTA,,907175,Male,ATCC,2,-4.26492929864996,Adherent,RPMI 1640 + 10% FBS,97.8,CVCL_0360,633,Placenta,Primary,Endometrial/Uterine Cancer,Choriocarcinoma,0,SIDM01039,,uterus,choriocarcinoma,,,
ACH-000015,NCI-H1581,NCIH1581,NCIH1581_LUNG,NCI-H2077,908471,Male,ATCC,2,-4.22615693843515,Mixed adherent and suspension,DMEM:F12 (1:1) + 5% FBS,47.2,CVCL_1479,1237,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44,SIDM00748,,lung,NSCLC,NSCLC_large_cell,,
ACH-001454,C10,C10,C10_LARGE_INTESTINE,,,Male,ECACC,2,-1.61211854366772,Adherent,IMDM + 10% FBS + 2 mM Glutamine,88.5,CVCL_5245,,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,71,,,colorectal,colorectal_adenocarcinoma,,,
ACH-001274,SW982,SW982,SW982_SOFT_TISSUE,,909759,Female,Academic lab,2,-3.09879391076184,not found,not found,83,CVCL_1734,1560,soft_tissue,,Sarcoma,Synovial,,SIDM01161,,soft_tissue,synovial_sarcoma,,,
ACH-000094,HPAF-II,HPAFII,HPAFII_PANCREAS,,724869,Male,ATCC,,,,,,CVCL_0313,889,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",44,SIDM00669,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-001993,NALM-16,NALM16,NALM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,"NALM-16, Nalm-16",,Female,DSMZ,2,-3.68786268976757,Adherent,RPMI + 10% FBS,66.6,,,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",12,,,blood,ALL,b_cell,,
ACH-001232,,UW228,UW228_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,1,-4.50227925241892,not found,not found,87.7,CVCL_8585,,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,central_nervous_system,medulloblastoma,,non_MYC,
ACH-000408,TE-5,TE5,TE5_OESOPHAGUS,,735784,Female,RIKEN,2,-2.51630720686847,,RPMI + 10% FBS,64.1,CVCL_1764,576,oesophagus,,Esophageal Cancer,Squamous Cell Carcinoma,73,SIDM00347,,esophagus,esophagus_squamous,,,
ACH-000694,TE-9,TE9,TE9_OESOPHAGUS,,946353,Male,RIKEN,2,-4.73513269264446,Adherent,RPMI + 10% FBS,91.3,CVCL_1767,1312,pleural_effusion,Metastasis,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00325,,esophagus,esophagus_squamous,,,
ACH-000395,NCI-H520,NCIH520,NCIH520_LUNG,,908443,Male,ATCC,3,-2.77734585436768,Adherent,RPMI + 10% FBS,86.6,CVCL_1566,2200,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM01130,,lung,NSCLC,NSCLC_squamous,,
ACH-000856,CAL-51,CAL51,CAL51_BREAST,,910927,Female,DSMZ,3,-4.21740759022249,Adherent,DMEM + 20% FBS,56.8,CVCL_1110,4,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,45,SIDM00933,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,
ACH-001192,SK-NEP-1,SKNEP1,SKNEP1_BONE,HTB-48,,Female,Academic lab,2,-3.319237122962,not found,not found,56.8,CVCL_0631,,pleural_effusion,Metastasis,Bone Cancer,Ewings Sarcoma,,SIDM00027,,bone,Ewing_sarcoma,,EWS_FLI,
ACH-000364,U-2 OS,U2OS,U2OS_BONE,"U2-OS, U-2 OS",909776,Female,ATCC,2,-3.88718012333055,Adherent,McCoy's 5A + 10% FBS,47.4,CVCL_0042,1145,bone,Primary,Bone Cancer,Osteosarcoma,15,SIDM01191,,bone,osteosarcoma,,,
ACH-000688,OV7,OV7,OV7_OVARY,,1480360,Female,ECACC,2,-2.86258170782519,Adherent,DMEM:F12 (1:1) + 5% FBS + 2mM L-glutamine + 10ug/ml Insulin + 0.5ug/ml Hydrocortisone,87.3,CVCL_2675,1985,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, mixed",78,SIDM00474,,ovary,ovary_adenocarcinoma,mixed_serous_clear_cell,,
ACH-000368,SNU-1105,SNU1105,SNU1105_CENTRAL_NERVOUS_SYSTEM,,,Male,KCLB,2,-3.56020049248506,,RPMI + 10% FBS,72.6,CVCL_5010,,central_nervous_system,Primary,Brain Cancer,Glioblastoma,61,,,central_nervous_system,glioma,glioblastoma,,
ACH-001498,Farage,FARAGE,FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1297449,Female,ATCC,1,-3.68345662820894,Suspension,RPMI 1640 + 10% FBS,60,CVCL_3302,1772,lymph_node,Metastasis,Lymphoma,"B-cell, Non-Hodgkins",,SIDM00859,,lymphocyte,non_hodgkin_lymphoma,b_cell,,
ACH-000591,,LN235,LN235_CENTRAL_NERVOUS_SYSTEM,LN-235,,Male,Academic lab,2,-3.96076416035099,not found,not found,87.3,CVCL_3957,,central_nervous_system,,Brain Cancer,Astrocytoma,38,,,central_nervous_system,glioma,astrocytoma,,
ACH-000148,Hs 578T,HS578T,HS578T_BREAST,,905957,Female,ATCC,3,-4.53665360390437,Adherent,DMEM + 10% FBS,70.9,CVCL_0332,655,breast,Primary,Breast Cancer,Carcinoma,74,SIDM00135,,breast,breast_carcinoma,ERneg_HER2neg,basal_B,
ACH-001163,Peds005T Susp,CCLFPEDS0001T,PEDS005TSUSP_KIDNEY,,,Male,Cancer Cell Line Factory,2,-3.88208304667832,not found,not found,89.8,,,kidney,Metastasis,Kidney Cancer,Renal Medullary Carcinoma,,,Adherent version of CCLFPEDS0001T,kidney,renal_cell_carcinoma,renal_medullary_carcinoma,,
ACH-001041,COLO-699,COLO699,COLO699_LUNG,,,Female,DSMZ,2,-4.46942723723544,Adherent,RPMI + 10% FBS,61.8,CVCL_1992,,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",57,SIDM00911,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000258,Du4475,DU4475,DU4475_BREAST,,906844,Female,ATCC,2,-1.63901471679981,Suspension,RPMI + 10% FBS,44.1,CVCL_1183,302,skin,Metastasis,Breast Cancer,Carcinoma,62,SIDM01001,,breast,breast_carcinoma,ERneg_HER2neg,luminal_HER2_amp,
ACH-000834,UM-UC-1,UMUC1,UMUC1_URINARY_TRACT,,,Male,ECACC,2,-4.50606119687524,Adherent,EMEM + 10% FBS + 2mM Glutamax + NEAA,66.3,CVCL_2743,,lymph_node,Metastasis,Bladder Cancer,Transitional Cell Carcinoma,,,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,
ACH-000484,VMRC-RCW,VMRCRCW,VMRCRCW_KIDNEY,,1240224,Male,RIKEN,1,-3.28874841883126,Adherent,EMEM + 10% FBS,91.3,CVCL_1790,1459,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00318,,kidney,renal_cell_carcinoma,,,
ACH-000533,NCI-H2004 RT,NCIH2004RT,NCIH2004RT_SOFT_TISSUE,,,Unknown,Academic lab,2,-3.31977381288955,not found,not found,39.9,CVCL_WS70,,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,soft_tissue,malignant_rhabdoid_tumor,,,
ACH-000103,Caov-4,CAOV4,CAOV4_OVARY,,949090,Female,ATCC,,,,,,CVCL_0202,1524,ovary,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",45,SIDM00918,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-001960,CC-SW-1,CCSW1,CCSW1_BILIARY_TRACT,,,Female,Academic lab,2,-4.58046641931238,Adherent,RPMI + 10% FBS,95.3,CVCL_A429,,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, intrahepatic",,,,bile_duct,cholangiocarcinoma,intrahepatic,,
ACH-002005,SK-MEL-19,SKMEL19,SKMEL19_SKIN,SK-MEL-19,,Male,Academic lab,2,-3.15515838862755,Adherent,RPMI 1640 + 10% FBS + 1% P/S,50,CVCL_6025,,skin,,Skin Cancer,Melanoma,50,,,skin,melanoma,,,
ACH-000821,EJM,EJM,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1297447,Female,DSMZ,2,-3.01837316129211,Suspension,IMDM + 10% FBS,76.1,CVCL_2030,567,ascites,Primary,Myeloma,Multiple Myeloma,58,SIDM01048,,plasma_cell,multiple_myeloma,,,
ACH-001289,COG-AR-359,COGAR359,COGAR359_SOFT_TISSUE,,,Male,Children&#39,s Oncology Group,2,-3.7111737783677,Suspension,IMDM + 20% FBS + 4mM L-glut + 1x ITS,81.7,CVCL_RS25,,central_nervous_system,,Rhabdoid,Atypical Teratoid Rhabdoid Tumor (ATRT),,,,soft_tissue,ATRT,,
ACH-000264,Calu-6,CALU6,CALU6_LUNG,,724859,Female,ATCC,2,-5.60367086264274,Adherent,EMEM + 10% FBS,91.9,CVCL_0236,1844,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",61,SIDM00921,,lung,NSCLC,,,
ACH-000577,JHH-2,JHH2,JHH2_LIVER,,1240157,Male,HSRRB,1,-2.75867781358679,Adherent,EMEM + 10% FBS,81.7,CVCL_2786,347,ascites,Metastasis,Liver Cancer,Hepatocellular Carcinoma,57,SIDM00617,,liver,hepatocellular_carcinoma,,,
ACH-001415,UM-UC7,UMUC7,UMUC7_URINARY_TRACT,,,Male,Sigma-Aldrich,2,-2.6479268816719,Adherent,EMEM (EBSS) + 10% FBS + 2 mM Glutamine + 1% Non Essential Amino Acids (NEAA),61.7,CVCL_2752,,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,,,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,
ACH-001451,BOKU,BOKU,BOKU_CERVIX,,,Female,JCRB,2,-4.06351098932868,Adherent,Ham's F12 + 10% FBS,86.3,,,cervix,Primary,Cervical Cancer,Squamous Cell Carcinoma,,SIDM00073,,cervix,cervical_squamous,,,
ACH-000547,HT-1197,HT1197,HT1197_URINARY_TRACT,,907065,Male,ATCC,2,-2.86826509788202,Adherent,EMEM + 10% FBS,72,CVCL_1291,1533,urinary_tract,Primary,Bladder Cancer,Carcinoma,44,SIDM00676,,urinary_tract,bladder_carcinoma,,,
ACH-000438,,LU65,LU65_LUNG,,724863,Male,JCRB,2,-3.51867032128119,,RPMI + 20% FBS,89,CVCL_1392,47,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",64,SIDM00547,,lung,NSCLC,NSCLC_large_cell,,
ACH-000595,LN-229,LN229,LN229_CENTRAL_NERVOUS_SYSTEM,,1240169,Female,ATCC,2,-5.63122049812734,Adherent,DMEM + 5% FBS,90,CVCL_0393,1504,central_nervous_system,Primary,Brain Cancer,Glioblastoma,60,SIDM00684,,central_nervous_system,glioma,glioblastoma,,
